date,attraction,city,tourists,type
2012_07,陽明公園,臺北市,51700,Outdoor
2012_07,擎天崗,臺北市,0,Outdoor
2012_07,國立故宮博物院,臺北市,375416,Indoor
2012_07,淡水漁人碼頭,新北市,342855,Outdoor
2012_07,新北市立黃金博物館,新北市,205353,Outdoor
2012_07,國立自然科學博物館,臺中市,328805,Indoor
2012_07,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_07,臺中國家歌劇院,臺中市,0,Indoor
2012_07,日月潭環潭區,南投縣,490345,Outdoor
2012_07,清境農場,南投縣,138505,Outdoor
2012_07,溪頭自然教育園區,南投縣,214832,Outdoor
2012_07,蓮池潭,高雄市,32000,Outdoor
2012_07,國立科學工藝博物館,高雄市,164337,Indoor
2012_07,高雄市立美術館,高雄市,83082,Indoor
2012_07,旗津風景區,高雄市,560214,Outdoor
2012_07,墾丁國家森林遊樂區,屏東縣,18055,Outdoor
2012_07,國立海洋生物博物館,屏東縣,201609,Indoor
2012_07,墾丁海水浴場,屏東縣,26704,Outdoor
2012_07,駁二藝術特區,高雄市,99668,Outdoor
2012_08,陽明山遊客中心,臺北市,11791,Indoor
2012_08,陽明公園,臺北市,44700,Outdoor
2012_08,擎天崗,臺北市,0,Outdoor
2012_08,國立故宮博物院,臺北市,367686,Indoor
2012_08,淡水漁人碼頭,新北市,287964,Outdoor
2012_08,新北市立黃金博物館,新北市,186222,Outdoor
2012_08,國立自然科學博物館,臺中市,289978,Indoor
2012_08,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2012_08,臺中國家歌劇院,臺中市,0,Indoor
2012_08,日月潭環潭區,南投縣,579880,Outdoor
2012_08,清境農場,南投縣,97512,Outdoor
2012_08,溪頭自然教育園區,南投縣,147409,Outdoor
2012_08,蓮池潭,高雄市,30000,Outdoor
2012_08,國立科學工藝博物館,高雄市,145800,Indoor
2012_08,高雄市立美術館,高雄市,68383,Indoor
2012_08,旗津風景區,高雄市,433915,Outdoor
2012_08,墾丁國家森林遊樂區,屏東縣,7673,Outdoor
2012_08,國立海洋生物博物館,屏東縣,152052,Indoor
2012_08,墾丁海水浴場,屏東縣,20600,Outdoor
2012_08,駁二藝術特區,高雄市,95503,Outdoor
2012_09,陽明山遊客中心,臺北市,10469,Indoor
2012_09,陽明公園,臺北市,39000,Outdoor
2012_09,擎天崗,臺北市,0,Outdoor
2012_09,國立故宮博物院,臺北市,279346,Indoor
2012_09,淡水漁人碼頭,新北市,280981,Outdoor
